Hospital provider code and description†,,,,,,,Finished consultant episodes,Admissions,Male,Female,Gender Unknown,Emergency,Waiting list,Planned,Other Admission Method,Mean time waited,Median time waited,Mean length of stay,Median length of stay,Mean age,Age 0,Age 1-4,Age 5-9,Age 10-14,Age 15,Age 16,Age 17,Age 18,Age 19,Age 20-24,Age 25-29,Age 30-34,Age 35-39,Age 40-44,Age 45-49,Age 50-54,Age 55-59,Age 60-64,Age 65-69,Age 70-74,Age 75-79,Age 80-84,Age 85-89,Age 90+,Day case,FCE bed days,Emergency,Elective,Other
RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,,,,,,"129,200","111,835","56,055","73,140",*,"40,370","39,185","20,025","12,255",69,34,3.3,1,56,"4,275","1,505","1,520","1,250",425,325,330,660,595,"3,825","5,575","7,605","7,015","6,235","5,915","6,885","8,795","9,510","9,375","9,610","12,780","10,565","8,495","5,705","52,340","194,960","129,200","2,295","6,270"
NVC01,ASHTEAD HOSPITAL,,,,,,"2,720","2,720","1,210","1,510",0,0,"2,720",0,0,64,48,1.9,2,58,0,0,0,0,0,0,0,*,10,70,95,120,145,185,185,215,300,265,270,280,320,155,85,15,"2,440",541,"2,720",0,0
NXP37,ASPEN CENTRE,,,,,,*,*,*,0,0,0,*,0,0,*,*,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,0,0,0,0,0,0,*,0,0,0
RVN,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,,,,,,"2,520","1,710","1,270","1,250",*,590,225,715,185,,,96,45,47,0,0,0,0,0,0,0,30,30,180,245,275,245,220,190,250,160,155,120,135,115,80,50,10,*,"155,521",*,10,*
RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",,,,,,"235,900","192,700","105,555","130,300",40,"104,985","53,315","18,310","16,090",74,35,3.3,1,52,"10,300","4,885","3,500","2,545",655,"1,110","1,240","1,435","1,400","8,175","11,380","12,470","13,115","12,980","12,710","13,675","15,135","16,305","15,555","16,010","16,750","13,635","10,990","7,765","61,215","434,847","235,900","2,165","1,330"
RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,,,,,,"101,635","83,575","45,225","56,385",25,"41,245","30,070","3,205","9,055",72,34,3.6,1,55,"5,125","1,600","1,215",825,190,225,350,465,425,"3,065","4,430","5,185","4,685","4,225","3,880","5,205","6,450","7,270","7,845","8,700","10,100","8,615","6,005","3,485","30,205","191,165","101,635",470,"2,625"
R1H,BARTS HEALTH NHS TRUST,,,,,,"290,395","220,145","138,960","151,415",20,"72,115","88,620","27,925","31,485",68,32,5.5,2,47,"21,615","8,355","7,105","6,535","1,645","1,435","1,400","1,075","1,255","9,485","15,715","16,935","16,195","14,715","15,075","16,950","20,115","21,145","21,120","19,025","17,390","13,500","10,685","7,090","94,525","704,988","290,395","3,355","2,695"
NT402,BATH CLINIC,,,,,,"1,985","1,985",875,"1,110",0,0,"1,985",0,0,103,70,1.3,1,69,0,0,0,0,0,0,0,0,0,10,10,30,35,45,40,100,155,195,240,305,395,275,100,40,"1,310",874,"1,985",20,0
NVC0I,BEACON PARK HOSPITAL,,,,,,"4,460","4,460","1,820","2,640",0,0,"4,460",0,0,147,73,1,1,64,0,0,0,0,0,0,0,*,*,65,95,125,195,225,205,320,385,365,430,500,735,520,235,45,"4,455",5,"4,460",0,0
NT403,BEARDWOOD HOSPITAL,,,,,,"4,800","4,800","2,245","2,555",*,0,"4,800",0,0,123,59,1.1,1,57,0,0,0,0,0,0,0,15,10,140,160,200,280,285,305,475,595,655,550,480,405,150,65,15,"3,525","1,456","4,800",145,0
